,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Seat Storage,Recommended,Viewing Tv Screen,Power Supply,reviews
0,Economy Class,Boeing 737-8AS,3x3,April 2023,Solo Leisure,5,1,3,5,4.0,yes,,,"✅ Trip Verified |  Seat 12F. This was a great seat for the price paid for my ticket (£24). I chose random allocation so I didn't pay for the seat. I was given 12E (the middle seat - a classic Ryanair punishment for not paying for a seat, but the 12F passenger didn't show up so I moved. I had a small under seat bag, and still had plenty of legroom. "
1,Economy Class,Boeing 737-8AS,3x3,May 2023,Solo Leisure,5,1,4,5,5.0,yes,,,"✅ Trip Verified |  Seat 26A. This was a randomly allocated seat, and in terms of the view, behind the wing on the port side (left) of the plane. Good view and good legroom for the price paid."
2,Economy Class,Boeing 737-800,3x3,February 2023,Couple Leisure,1,1,1,1,1.0,no,,,"Not Verified |  Booked extra legroom seats for me and my partner, especially since usual seat layout is well too cramped for a 6'2"" man. Was allocated 1B and 1C which was fine. Except priority boarding which came with the allocation was nonsensical since everyone and his dog has to file past us to reach their seats. Plus the cabin crew seats are directly opposite and they're not comfortable either so my leg room got totally compromised during take off and landing, and by their backwards and forwards servicing all the other passengers during the entire flight. The two seats need to be positioned closer to the aircraft side to provide non-contact by the food, beverages, and duty free trollies - or else what's the point of paying for extra leg room? The crew were very polite but that didn't make up for a very uncomfortable flight when comfort was the very thing we paid extra money for. Budget should never mean discomfort."
3,Economy Class,Boeing 737-800,3x3,November 2021,Family Leisure,4,1,4,3,2.0,yes,,,"Not Verified |  The seat was unusually thin, the coating of it felt like fabricated plastic. The seat did not recline nor did it have a moveable head rest. Fortunately, the leg room was pretty decent. There was enough room to put my backpack under the seat. The seat is comfortable for the first 2 or 3 hours of the flight, however after that it becomes very uncomfortable. Good enough for a budget airline though!"
4,Economy Class,Boeing 737-800,3x3,March 2022,Couple Leisure,1,1,1,1,1.0,no,1.0,1.0,"✅ Trip Verified |  The seat is bolt upright, with no adjustment or storage. While a seat like this might be suitable for ultra short haul it is not suitable for a flight of four hours. Very uncomfortable seat, it must be the worst in class. It deserves a zero rating."
5,Economy Class,Boeing 737-800,3x3,August 2021,Family Leisure,3,5,3,5,4.0,yes,,,"✅ Trip Verified |  Small legroom like most European airlines, but not that bad for tall people, this is because although the legroom is small, the seats don't recline, and for tall people, at least for me is a big plus, because once the seats in front of you recline, the legroom is completely gone. With Ryanair you are guaranteed that the person in front if you will not recline the seat, and since Ryanair trips are not long haul, I'd say its a good compromise for tall people."
6,Economy Class,Boeing 737-800,3x3,November 2019,Solo Leisure,3,1,2,2,1.0,yes,,,"✅ Trip Verified |  
Review of the older Ryanair seat: No seatback pocket, no adjustable headrest, and no recline. The seat cushion also lacks support, causing numbness after sitting there for 2 hours. Cabin hygiene was more or less passable, but those seats do make storage a little awkward due to the lack of an intermediate storage space when you begin to put things away. That being said, it does give you a little extra leg room, which would matter for taller people. The seats are obviously quite narrow, and legroom is more cramped, but being 5’8, I had more than enough leg room."
7,Economy Class,Boeing 737-800,3x3,November 2019,Business,1,1,1,1,1.0,no,,,"✅ Trip Verified |  Seats are very uncomfortable, had neck pain pain for 2 days after the trip. They assigned me a random seat obviously the worst I can get just because I didn't pay extras."
8,Economy Class,Boeing 737,3x3,October 2019,Couple Leisure,2,1,1,3,1.0,no,,,Not Verified |  Ryanair is renowned for cheap flights and if booked well in advance my return from Manchester to Gran Canaria was £42. I bought 2 tickets and paid extra for the front row of seats having loads of leg room and priority boarding etc. The bill went from £84 to £269 for the 2 of us. On boarding at Manchester the cabin crew had sat somebody in our seats and made us sit us regular seats. I explained I had paid a lot of money for those seats to refused to sit there. I contacted Ryanair to have their T and C quoted to me that they can move people if for safety and security and would not get a refund. In all it’s a waste of money and customers service is outweighed by greed. I agree you get what you pay for but I paid and didn’t get anything of the sort.
9,Economy Class,Boeing 737-800,3x3,May 2019,Solo Leisure,4,2,3,5,2.0,yes,,,✅ Trip Verified |  Seat 17D in the emergency exit row. Lots of legroom and priority boarding. Seats in the emergency exit row on this aircraft are narrower than other seats because the tray table stows in the armrest. It's still worth paying for this seat to get the extra legroom if you're tall. I think the seats may be made of vinyl and the back support is not that great but it's okay for short flights.
